iter	RMSE
0	0.8073053817
1	0.8000391621
2	0.7927087206
3	0.786741468
4	0.7819894587
5	0.7758493573
6	0.7716283029
7	0.7675387488
8	0.7631181951
9	0.7583566673
10	0.7540295383
11	0.7503096879
12	0.7468215305
13	0.7441898499
14	0.741275166
15	0.7378596798
16	0.7351220378
17	0.732572697
18	0.7298537708
19	0.7275269322
20	0.7253251784
21	0.7235647293
22	0.7217738654
23	0.7199563694
24	0.7182495911
25	0.7164108946
26	0.714413293
27	0.7128295689
28	0.7111003422
29	0.7095086494
30	0.7079207548
31	0.7067599781
32	0.7052246673
33	0.7037287014
34	0.7021778911
35	0.7011188909
36	0.7000954429
37	0.6989543991
38	0.697780876
39	0.6969655982
40	0.6961167466
41	0.6948722983
42	0.6938727367
43	0.6927095895
44	0.6916458553
45	0.690828915
46	0.6900645819
47	0.6890967677
48	0.6883005348
49	0.6874912853
50	0.6865377229
51	0.6858202165
52	0.685076461
53	0.6841994584
54	0.6835158267
55	0.6828863919
56	0.6820204537
57	0.6814938568
58	0.6807525577
59	0.6802794138
60	0.6796841335
61	0.6790478377
62	0.6785391071
63	0.6779052892
64	0.6771454077
65	0.676508883
66	0.6760877028
67	0.6757835042
68	0.6751779166
69	0.6747312446
70	0.6742941359
71	0.6736653166
72	0.6732534144
73	0.6728066508
74	0.6723460595
75	0.6717134925
76	0.6712329166
77	0.6706191833
78	0.6701181969
79	0.6698565425
80	0.6694273422
81	0.6690748405
82	0.6686789203
83	0.6683172365
84	0.6678716684
85	0.6675106298
86	0.6671154645
87	0.6666653773
88	0.6662677988
89	0.6658776367
90	0.6655172176
91	0.6650527082
92	0.6646710362
93	0.6643281762
94	0.6639879779
95	0.6636519207
96	0.6632399174
97	0.6628908735
98	0.6624647177
99	0.6619859888
100	0.6617635766
101	0.6615206369
102	0.6613431691
103	0.6609214416
104	0.6606339177
105	0.6602607568
106	0.6598878639
107	0.6596549792
108	0.6592624599
109	0.6589649636
110	0.6586873174
111	0.6584314664
112	0.658199452
113	0.6577848333
114	0.6575874632
115	0.657291728
116	0.6569688164
117	0.6566094177
118	0.6563127035
119	0.6560459973
120	0.6557656759
121	0.6555268989
122	0.6552200258
123	0.6549128176
124	0.6544862495
125	0.6542180162
126	0.6539834585
127	0.6537426051
128	0.6534993248
129	0.6532346946
130	0.6528438042
131	0.6525455494
132	0.652355501
133	0.6520149922
134	0.6517546291
135	0.6514789198
136	0.6512475062
137	0.6509346061
138	0.6506158285
139	0.6503869955
140	0.6500681085
141	0.6499354916
142	0.649717389
143	0.6494558477
144	0.6491915651
145	0.6488658324
146	0.648556153
147	0.6482469736
148	0.6478291077
149	0.6476966718
150	0.6474571872
151	0.6471363606
152	0.646893061
153	0.6467595389
154	0.6462991856
155	0.6460963478
156	0.6457186477
157	0.645401792
158	0.6451920085
159	0.6449257778
160	0.6445522499
161	0.6443032398
162	0.6439302908
163	0.643587885
164	0.6433170226
165	0.6431154074
166	0.6426137253
167	0.6422501227
168	0.6420190667
169	0.6417621872
170	0.641568005
171	0.6414009397
172	0.6410012735
173	0.6407619952
174	0.640493139
175	0.6402434285
176	0.639906705
177	0.639671598
178	0.639343853
179	0.6390034117
180	0.6385815453
181	0.6383374137
182	0.6379878221
183	0.6378227528
184	0.6375521472
185	0.6372185267
186	0.6369579953
187	0.6365892726
188	0.6362210228
189	0.6359430995
190	0.6355589216
191	0.6352595995
192	0.635002666
193	0.6347044083
194	0.6343912538
195	0.6342026168
196	0.6338538653
197	0.6336308116
198	0.6333352851
199	0.6330157857
200	0.6326520442
201	0.6324886991
202	0.6321927352
203	0.6318428123
204	0.6315775629
205	0.6312655409
206	0.6309982871
207	0.63079153
208	0.6305005695
209	0.6302594073
210	0.6299893639
211	0.6297204657
212	0.629377626
213	0.6290146604
214	0.6287371582
215	0.6283798472
216	0.6281728211
217	0.6278254416
218	0.6275499867
219	0.6272889018
220	0.6268492794
221	0.6266188551
222	0.6264043618
223	0.6261021595
224	0.6257865668
225	0.6253630959
226	0.6249973122
227	0.6246564351
228	0.6243952748
229	0.6241908605
230	0.623916329
231	0.6236783842
232	0.623367737
233	0.6230433579
234	0.6226254537
235	0.6223365991
236	0.6220846439
237	0.6216831914
238	0.621377612
239	0.6210248041
240	0.6207281319
241	0.6204630182
242	0.6202483007
243	0.619820602
244	0.6196076207
245	0.6194445602
246	0.6191992287
247	0.6189518923
248	0.618673252
249	0.6183251674
250	0.618067606
251	0.6178846746
252	0.6174866192
253	0.6172199483
254	0.6170293211
255	0.6166980467
256	0.6164127967
257	0.6160775251
258	0.6158807818
259	0.6154783837
260	0.6151329571
261	0.6147925266
262	0.6144307389
263	0.6140893208
264	0.6138300203
265	0.6135982093
266	0.613353183
267	0.613010155
268	0.6126938292
269	0.6124226951
270	0.6121435029
271	0.6118291947
272	0.6117627132
273	0.6116511142
274	0.6113787164
275	0.6112239381
276	0.6109705295
277	0.6107591017
278	0.6104077663
279	0.6100645519
280	0.6097720642
281	0.609558621
282	0.6092812353
283	0.6091342496
284	0.6089070822
285	0.6086072507
286	0.6084038478
287	0.6081573763
288	0.6078215843
289	0.6075756493
290	0.6073215071
291	0.6070963569
292	0.606948717
293	0.6067506512
