iter	RMSE
0	0.8080095575
1	0.8027010408
2	0.7965349413
3	0.7920873253
4	0.7879196299
5	0.7845900435
6	0.7812174275
7	0.7779543938
8	0.7745909463
9	0.7713713643
10	0.7674059162
11	0.7639960642
12	0.7611651521
13	0.7581763829
14	0.7553766817
15	0.7528726487
16	0.7503530386
17	0.7484995725
18	0.7466644166
19	0.7446088863
20	0.7429399462
21	0.7412877086
22	0.7402146939
23	0.7383410846
24	0.7366191732
25	0.734882849
26	0.7334312855
27	0.7318592016
28	0.7302683943
29	0.7286138607
30	0.7270964158
31	0.7260989963
32	0.7251952878
33	0.7240332905
34	0.7232960054
35	0.7222313945
36	0.7209264247
37	0.7197653115
38	0.7186960295
39	0.7174409092
40	0.7167345414
41	0.7155919459
42	0.7146861563
43	0.7139779474
44	0.7131616308
45	0.712187235
46	0.711351834
47	0.7106046159
48	0.7097107407
49	0.7090544544
50	0.7080288363
51	0.7071339535
52	0.7064123423
53	0.7056963715
54	0.7049512013
55	0.7041722394
56	0.703676894
57	0.703160742
58	0.7026178154
59	0.7019276709
60	0.7014197997
61	0.7007318795
62	0.7000806293
63	0.6992904171
64	0.6988370237
65	0.6983972918
66	0.6976416685
67	0.6971154097
68	0.6964619497
69	0.696052413
70	0.6955958053
71	0.6950464337
72	0.694425041
73	0.693944326
74	0.6935461279
75	0.6929420934
76	0.6924273495
77	0.6919517794
78	0.6914925534
79	0.6912119395
80	0.6908877697
81	0.690310473
82	0.6899052742
83	0.6892889508
84	0.6888215673
85	0.6884231894
86	0.6880923399
87	0.6875424073
88	0.6872435081
89	0.6868793903
90	0.6864391574
91	0.6858387822
92	0.685498743
93	0.6851380701
94	0.6847468951
95	0.6845041914
96	0.6842080234
97	0.6837994431
98	0.6832750839
99	0.6828719862
100	0.6824627025
101	0.682120667
102	0.6816940669
103	0.6812070786
104	0.68077473
105	0.6803593287
106	0.6800796914
107	0.6798559824
108	0.6795286388
109	0.6792162781
110	0.6789019535
111	0.6786011927
112	0.6782159073
113	0.6778696685
114	0.6775336433
115	0.6771942628
116	0.6769484003
117	0.6765226183
118	0.6761713394
119	0.6759507973
120	0.6756856547
121	0.6755218589
122	0.6751612575
123	0.6748061431
124	0.6744695225
125	0.6740824729
126	0.6737771696
127	0.6735898371
128	0.6733202758
129	0.6730412351
130	0.6727610315
131	0.6723914161
132	0.6721623334
133	0.6720103095
134	0.671805331
135	0.6714306998
136	0.6710917128
137	0.6708495622
138	0.6706875008
139	0.6704875334
140	0.6702423215
141	0.6700201987
142	0.6697614266
143	0.6695097619
144	0.6692126117
145	0.6688914315
146	0.6685352319
147	0.6682965182
148	0.6680714841
149	0.6678597339
150	0.6676189382
151	0.6673475216
152	0.6671740646
153	0.666874205
154	0.6666992477
155	0.6664648987
156	0.6662427627
157	0.6660429783
158	0.6657760377
159	0.6656160981
160	0.6653597414
161	0.6651389182
162	0.6649007301
163	0.6646560376
164	0.6644284918
165	0.6641791712
166	0.6640409929
167	0.6636976817
168	0.6635056422
169	0.6632416408
170	0.6630478188
171	0.6627741685
172	0.6625760194
173	0.6623950931
174	0.6620895915
175	0.6617912414
176	0.6616247499
177	0.6613111652
178	0.6610950548
179	0.6607956122
180	0.6606272983
181	0.6603500193
182	0.6602456197
183	0.6600296319
184	0.6598726035
185	0.6596612632
186	0.6593195265
187	0.6591564669
188	0.6589032724
189	0.658643349
190	0.6584224554
191	0.6581830864
192	0.6579804221
193	0.6577159396
194	0.6574262549
195	0.6571398854
196	0.6569951997
197	0.6567727348
198	0.6565708377
199	0.6563564791
200	0.6561344245
201	0.6559197746
202	0.6557376822
203	0.655554611
204	0.6553972858
205	0.6552631182
206	0.6549116205
207	0.6546119878
208	0.6543253047
209	0.6541633539
210	0.6540416404
211	0.6538806459
212	0.6535234892
213	0.6532934675
214	0.6531472774
215	0.6528840384
216	0.6526767972
217	0.6524796615
218	0.6524377272
219	0.652226347
220	0.6519297469
221	0.6515972325
222	0.6513928183
223	0.651183977
224	0.6509578949
225	0.6507857448
226	0.6506117857
227	0.6504192821
228	0.6502079903
229	0.6498584616
230	0.6496799384
231	0.6494229124
232	0.6491546048
233	0.6488547874
234	0.648575276
235	0.6484235232
236	0.648231607
237	0.6480343483
238	0.647805181
239	0.6475596552
240	0.6474591287
241	0.6472502909
242	0.6470620976
243	0.6467620845
244	0.6465463418
245	0.6463949298
246	0.6461763375
247	0.6458973386
248	0.6457128016
249	0.6454381097
250	0.6452364049
251	0.6449592582
252	0.6447311273
253	0.6445545515
254	0.6444032597
255	0.6441549813
256	0.6439291275
257	0.6437685067
258	0.6436028667
259	0.6434143401
260	0.6432879544
261	0.6431147494
262	0.6430050104
263	0.6429140827
264	0.6426840234
265	0.6424741074
266	0.6423494877
267	0.6420563564
268	0.6418181697
269	0.6416021172
270	0.6413636541
271	0.6412036393
272	0.6409652017
273	0.6407977357
274	0.6406751268
275	0.6405061031
276	0.6402358268
277	0.6400026439
278	0.6398071199
279	0.6395612858
280	0.6393183635
281	0.6391735618
282	0.6389902203
283	0.6388237468
284	0.6385977965
285	0.6384339975
286	0.6381013581
287	0.6378151184
288	0.6376887961
289	0.637479152
290	0.6372412798
291	0.6369994502
292	0.6368815079
293	0.6366764566
294	0.6365112914
295	0.6363902752
296	0.6361287087
297	0.6359680319
298	0.6358028299
299	0.6356575275
300	0.6355497865
301	0.6354617309
302	0.6352478852
303	0.6350601668
304	0.6349105178
305	0.6346535533
306	0.6344618385
307	0.6342844371
308	0.6341078348
309	0.6338884242
310	0.6336647625
311	0.6334473035
312	0.633267265
313	0.6330781708
314	0.6329478198
315	0.6327660645
316	0.6326492071
317	0.6325348748
318	0.6324482804
319	0.6322234001
320	0.6319837276
321	0.6318442184
322	0.6317237143
323	0.6315554734
324	0.6313934582
325	0.6311649898
