iter	Passed	Remaining
0	5	575820
1	11	573338
2	17	579469
3	24	609457
4	28	578618
5	33	556662
6	37	537361
7	42	530241
8	47	530183
9	54	545032
10	59	536735
11	63	530595
12	67	522153
13	72	516651
14	77	515529
15	82	514754
16	87	515345
17	93	517843
18	99	521083
19	103	517514
20	107	513218
21	112	511685
22	117	508955
23	121	507870
24	126	506828
25	133	512550
26	138	513042
27	144	514915
28	149	513951
29	154	514440
30	159	513426
31	163	512224
32	168	510254
33	172	508144
34	177	505728
35	181	504845
36	186	503011
37	190	501682
38	194	499662
39	199	498322
40	203	496392
41	209	497622
42	213	496018
43	217	494381
44	221	492475
45	226	491919
46	231	491720
47	235	490323
48	239	488934
49	244	488587
50	248	487733
51	254	488938
52	261	493002
53	266	493775
54	271	492989
55	275	491858
56	279	490632
57	283	489133
58	288	488363
59	293	488105
60	297	487521
61	302	487104
62	306	486391
63	311	485911
64	315	484822
65	319	483922
66	323	483175
67	328	482206
68	332	481481
69	337	481178
70	341	480747
71	346	480494
72	350	480127
73	355	479480
74	360	479858
75	364	479440
76	369	479103
77	373	478198
78	377	477912
79	382	477360
80	386	476973
81	391	476461
82	395	475774
83	399	475374
84	404	475371
85	408	474824
86	412	474245
87	417	473681
88	421	473446
89	426	473103
90	430	472823
91	434	472245
92	439	471822
93	443	471429
94	448	471159
95	452	470590
96	456	469929
97	460	469660
98	464	469124
99	468	468469
100	473	467987
101	477	467514
102	481	466998
103	486	466866
104	490	466510
105	494	466458
106	499	466346
107	503	465764
108	508	465584
109	512	465217
110	516	464970
111	521	464764
112	525	464481
113	531	465875
114	536	465798
115	540	465622
116	545	465651
117	549	465453
118	554	465209
119	558	465099
120	563	464948
121	567	464602
122	571	464415
123	576	464204
124	580	463953
125	585	463785
126	589	463584
127	593	463280
128	598	463129
129	602	462963
130	607	463006
131	611	462764
132	616	462612
133	620	462558
134	625	462431
135	629	462411
136	634	462249
137	639	462476
138	644	463263
139	649	463142
140	653	463079
141	658	462883
142	662	462598
143	667	462648
144	671	462666
145	676	462945
146	681	463118
147	686	463483
148	692	464274
149	698	465239
150	704	465960
151	709	465817
152	713	465643
153	718	465678
154	722	465557
155	726	465237
156	731	465169
157	735	465056
158	740	464946
159	744	464740
160	750	465237
161	754	465006
162	758	464814
163	763	464611
164	767	464496
165	772	464457
166	776	464483
167	781	464387
168	785	464217
169	790	464354
170	795	464172
171	799	463836
172	803	463736
173	808	463701
174	812	463443
175	816	463311
176	821	463202
177	826	463519
178	831	463718
179	836	463630
180	840	463496
181	845	463714
182	850	463951
183	855	464272
184	862	465462
185	867	465419
186	871	465292
187	875	465034
188	880	464989
189	885	465004
190	889	465019
191	894	465102
192	899	465220
193	904	465255
194	908	465135
195	913	464977
196	917	464938
197	922	464815
198	927	464973
199	931	464988
200	936	464926
201	940	464868
202	945	464592
203	949	464707
204	954	464533
205	958	464287
206	962	464173
207	967	464013
208	971	463983
209	976	463915
210	980	463699
211	984	463492
212	989	463544
213	994	463715
214	999	463851
215	1006	465031
216	1013	466193
217	1020	467236
218	1026	467710
219	1032	468345
220	1038	468684
